ISSN;Titulo;√?rea de Avalia√ß√£o;QUALIS
0306-4573;INFORMATION PROCESSING & MANAGEMENT;CI√?NCIA DA COMPUTA√?√?O;A1
0020-0255;INFORMATION SCIENCES;CI√?NCIA DA COMPUTA√?√?O;A1
1069-2509;INTEGRATED COMPUTER-AIDED ENGINEERING;CI√?NCIA DA COMPUTA√?√?O;A1
0271-2091;INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS (PRINT);CI√?NCIA DA COMPUTA√?√?O;A1
0888-613X;INTERNATIONAL JOURNAL OF APPROXIMATE REASONING;CI√?NCIA DA COMPUTA√?√?O;A1
1365-8816;INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE (PRINT);CI√?NCIA DA COMPUTA√?√?O;A1
1071-5819;INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES (PRINT);CI√?NCIA DA COMPUTA√?√?O;A1
1386-5056;INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS;CI√?NCIA DA COMPUTA√?√?O;A1
0129-0657;INTERNATIONAL JOURNAL OF NEURAL SYSTEMS;CI√?NCIA DA COMPUTA√?√?O;A1
1366-588X;INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH;CI√?NCIA DA COMPUTA√?√?O;A1
0020-7543;INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH (PRINT);CI√?NCIA DA COMPUTA√?√?O;A1
1438-8871;JMIR. JOURNAL OF MEDICAL INTERNET RESEARCH;CI√?NCIA DA COMPUTA√?√?O;A1
0377-0427;JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS;CI√?NCIA DA COMPUTA√?√?O;A1
1066-5277;JOURNAL OF COMPUTATIONAL BIOLOGY;CI√?NCIA DA COMPUTA√?√?O;A1
0192-8651;JOURNAL OF COMPUTATIONAL CHEMISTRY;CI√?NCIA DA COMPUTA√?√?O;A1
0021-9991;JOURNAL OF COMPUTATIONAL PHYSICS (PRINT);CI√?NCIA DA COMPUTA√?√?O;A1
0022-3239;JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS;CI√?NCIA DA COMPUTA√?√?O;A1
1573-2878;JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS (DORDRECHT. ONLINE);CI√?NCIA DA COMPUTA√?√?O;A1
1548-7660;JOURNAL OF STATISTICAL SOFTWARE;CI√?NCIA DA COMPUTA√?√?O;A1
1067-5027;JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION;CI√?NCIA DA COMPUTA√?√?O;A1
1532-2890;JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY (ONLINE);CI√?NCIA DA COMPUTA√?√?O;A1
1532-2882;JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY (PRINT);CI√?NCIA DA COMPUTA√?√?O;A1
2330-1643;JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY;CI√?NCIA DA COMPUTA√?√?O;A1
0160-5682;JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY;CI√?NCIA DA COMPUTA√?√?O;A1
1084-7529;JOURNAL OF THE OPTICAL SOCIETY OF AMERICA. A, OPTICS, IMAGE SCIENCE, AND VISION;CI√?NCIA DA COMPUTA√?√?O;A1
0950-7051;KNOWLEDGE-BASED SYSTEMS;CI√?NCIA DA COMPUTA√?√?O;A1
0885-6125;MACHINE LEARNING;CI√?NCIA DA COMPUTA√?√?O;A1
1573-0565;MACHINE LEARNING (DORDRECHT. ONLINE);CI√?NCIA DA COMPUTA√?√?O;A1
0340-6253;MATCH (MULHEIM);CI√?NCIA DA COMPUTA√?√?O;A1
0025-5610;MATHEMATICAL PROGRAMMING;CI√?NCIA DA COMPUTA√?√?O;A1
1361-8415;MEDICAL IMAGE ANALYSIS (PRINT);CI√?NCIA DA COMPUTA√?√?O;A1
2041-1723;NATURE COMMUNICATIONS;CI√?NCIA DA COMPUTA√?√?O;A1
0899-7667;NEURAL COMPUTATION;CI√?NCIA DA COMPUTA√?√?O;A1
0893-6080;NEURAL NETWORKS;CI√?NCIA DA COMPUTA√?√?O;A1
0925-2312;NEUROCOMPUTING (AMSTERDAM);CI√?NCIA DA COMPUTA√?√?O;A1
1539-2791;NEUROINFORMATICS (TOTOWA);CI√?NCIA DA COMPUTA√?√?O;A1
0031-3203;PATTERN RECOGNITION;CI√?NCIA DA COMPUTA√?√?O;A1
0167-8655;PATTERN RECOGNITION LETTERS;CI√?NCIA DA COMPUTA√?√?O;A1
1553-7358;PLOS COMPUTATIONAL BIOLOGY (ONLINE);CI√?NCIA DA COMPUTA√?√?O;A1
0018-9219;PROCEEDINGS OF THE IEEE;CI√?NCIA DA COMPUTA√?√?O;A1
0027-8424;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;CI√?NCIA DA COMPUTA√?√?O;A1
0921-8890;ROBOTICS AND AUTONOMOUS SYSTEMS (PRINT);CI√?NCIA DA COMPUTA√?√?O;A1
2045-2322;SCIENTIFIC REPORTS;CI√?NCIA DA COMPUTA√?√?O;A1
2045-2322;SCIENTIFIC REPORTS;CI√?NCIA DA COMPUTA√?√?O;A1
1588-2861;SCIENTOMETRICS (ONLINE);CI√?NCIA DA COMPUTA√?√?O;A1
0138-9130;SCIENTOMETRICS (PRINT);CI√?NCIA DA COMPUTA√?√?O;A1
1424-8220;SENSORS (BASEL);CI√?NCIA DA COMPUTA√?√?O;A1
0363-0129;SIAM JOURNAL ON CONTROL AND OPTIMIZATION (PRINT);CI√?NCIA DA COMPUTA√?√?O;A1
1095-7189;SIAM JOURNAL ON OPTIMIZATION;CI√?NCIA DA COMPUTA√?√?O;A1
1052-6234;SIAM JOURNAL ON OPTIMIZATION (PRINT);CI√?NCIA DA COMPUTA√?√?O;A1
0036-1445;SIAM REVIEW (PRINT);CI√?NCIA DA COMPUTA√?√?O;A1
0163-5808;SIGMOD RECORD;CI√?NCIA DA COMPUTA√?√?O;A1
0165-1684;SIGNAL PROCESSING (PRINT);CI√?NCIA DA COMPUTA√?√?O;A1
1615-147X;STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION (PRINT);CI√?NCIA DA COMPUTA√?√?O;A1
2210-6502;SWARM AND EVOLUTIONARY COMPUTATION;CI√?NCIA DA COMPUTA√?√?O;A1
1076-9757;THE JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH (PRINT);CI√?NCIA DA COMPUTA√?√?O;A1
0304-3975;THEORETICAL COMPUTER SCIENCE;CI√?NCIA DA COMPUTA√?√?O;A1
0734-2071;ACM TRANSACTIONS ON COMPUTER SYSTEMS;CI√?NCIA DA COMPUTA√?√?O;A2
1073-0516;ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION;CI√?NCIA DA COMPUTA√?√?O;A2
0362-5915;ACM TRANSACTIONS ON DATABASE SYSTEMS;CI√?NCIA DA COMPUTA√?√?O;A2
2157-6904;ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY;CI√?NCIA DA COMPUTA√?√?O;A2
0164-0925;ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS;CI√?NCIA DA COMPUTA√?√?O;A2
1049-331X;ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY;CI√?NCIA DA COMPUTA√?√?O;A2
1570-8705;AD HOC NETWORKS;CI√?NCIA DA COMPUTA√?√?O;A2
1862-5347;ADVANCES IN DATA ANALYSIS AND CLASSIFICATION;CI√?NCIA DA COMPUTA√?√?O;A2
0965-9978;ADVANCES IN ENGINEERING SOFTWARE;CI√?NCIA DA COMPUTA√?√?O;A2
0965-9978;ADVANCES IN ENGINEERING SOFTWARE;CI√?NCIA DA COMPUTA√?√?O;A2
0178-4617;ALGORITHMICA;CI√?NCIA DA COMPUTA√?√?O;A2
1432-0541;ALGORITHMICA (NEW YORK. INTERNET);CI√?NCIA DA COMPUTA√?√?O;A2
0307-904X;APPLIED MATHEMATICAL MODELLING;CI√?NCIA DA COMPUTA√?√?O;A2
0168-9274;APPLIED NUMERICAL MATHEMATICS;CI√?NCIA DA COMPUTA√?√?O;A2
0933-3657;ARTIFICIAL INTELLIGENCE IN MEDICINE (PRINT);CI√?NCIA DA COMPUTA√?√?O;A2
0269-2821;ARTIFICIAL INTELLIGENCE REVIEW;CI√?NCIA DA COMPUTA√?√?O;A2
1573-7462;ARTIFICIAL INTELLIGENCE REVIEW (DORDRECHT. ONLINE);CI√?NCIA DA COMPUTA√?√?O;A2
1573-7454;AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS (DORDRECHT. ONLINE);CI√?NCIA DA COMPUTA√?√?O;A2
0144-929X;BEHAVIOUR & INFORMATION TECHNOLOGY (PRINT);CI√?NCIA DA COMPUTA√?√?O;A2
1756-0381;BIODATA MINING;CI√?NCIA DA COMPUTA√?√?O;A2
0303-2647;BIOSYSTEMS (AMSTERDAM. PRINT);CI√?NCIA DA COMPUTA√?√?O;A2
1472-6947;BMC MEDICAL INFORMATICS AND DECISION MAKING (ONLINE);CI√?NCIA DA COMPUTA√?√?O;A2
1866-9956;COGNITIVE COMPUTATION (PRINT);CI√?NCIA DA COMPUTA√?√?O;A2
1476-9271;COMPUTATIONAL BIOLOGY AND CHEMISTRY (PRINT);CI√?NCIA DA COMPUTA√?√?O;A2
0925-7721;COMPUTATIONAL GEOMETRY;CI√?NCIA DA COMPUTA√?√?O;A2
0891-2017;COMPUTATIONAL LINGUISTICS;CI√?NCIA DA COMPUTA√?√?O;A2
1530-9312;COMPUTATIONAL LINGUISTICS - ASSOCIATION FOR COMPUTATIONAL LINGUISTICS (ONLINE);CI√?NCIA DA COMPUTA√?√?O;A2
0891-2017;COMPUTATIONAL LINGUISTICS (PRINT);CI√?NCIA DA COMPUTA√?√?O;A2
0926-6003;COMPUTATIONAL OPTIMIZATION AND APPLICATIONS;CI√?NCIA DA COMPUTA√?√?O;A2
1573-2894;COMPUTATIONAL OPTIMIZATION AND APPLICATIONS (DORDRECHT. ONLINE);CI√?NCIA DA COMPUTA√?√?O;A2
0167-9473;COMPUTATIONAL STATISTICS & DATA ANALYSIS (PRINT);CI√?NCIA DA COMPUTA√?√?O;A2
0167-8396;COMPUTER AIDED GEOMETRIC DESIGN;CI√?NCIA DA COMPUTA√?√?O;A2
0140-3664;COMPUTER COMMUNICATIONS;CI√?NCIA DA COMPUTA√?√?O;A2
1460-2067;COMPUTER JOURNAL (ONLINE);CI√?NCIA DA COMPUTA√?√?O;A2
0010-4620;COMPUTER JOURNAL (PRINT);CI√?NCIA DA COMPUTA√?√?O;A2
0169-2607;COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE (PRINT);CI√?NCIA DA COMPUTA√?√?O;A2
1526-1506;COMPUTER MODELING IN ENGINEERING & SCIENCES;CI√?NCIA DA COMPUTA√?√?O;A2
1526-1492;COMPUTER MODELING IN ENGINEERING & SCIENCES;CI√?NCIA DA COMPUTA√?√?O;A2
0885-2308;COMPUTER SPEECH & LANGUAGE (PRINT);CI√?NCIA DA COMPUTA√?√?O;A2
0925-9724;COMPUTER SUPPORTED COOPERATIVE WORK;CI√?NCIA DA COMPUTA√?√?O;A2
0895-6111;COMPUTERIZED MEDICAL IMAGING AND GRAPHICS;CI√?NCIA DA COMPUTA√?√?O;A2
0045-7930;COMPUTERS & FLUIDS;CI√?NCIA DA COMPUTA√?√?O;A2
0097-8493;COMPUTERS & GRAPHICS;CI√?NCIA DA COMPUTA√?√?O;A2
0167-4048;COMPUTERS & SECURITY;CI√?NCIA DA COMPUTA√?√?O;A2
0168-1699;COMPUTERS AND ELECTRONICS IN AGRICULTURE;CI√?NCIA DA COMPUTA√?√?O;A2
0010-4825;COMPUTERS IN BIOLOGY AND MEDICINE;CI√?NCIA DA COMPUTA√?√?O;A2
0166-3615;COMPUTERS IN INDUSTRY;CI√?NCIA DA COMPUTA√?√?O;A2
1521-9615;COMPUTING IN SCIENCE & ENGINEERING (PRINT);CI√?NCIA DA COMPUTA√?√?O;A2
1532-0626;CONCURRENCY AND COMPUTATION;CI√?NCIA DA COMPUTA√?√?O;A2
1096-9128;CONCURRENCY AND COMPUTATION: PRACTICE & EXPERIENCE;CI√?NCIA DA COMPUTA√?√?O;A2
1532-0634;CONCURRENY AND COMPUTATION (ONLINE);CI√?NCIA DA COMPUTA√?√?O;A2
0169-023X;DATA & KNOWLEDGE ENGINEERING;CI√?NCIA DA COMPUTA√?√?O;A2
0166-218X;DISCRETE APPLIED MATHEMATICS;CI√?NCIA DA COMPUTA√?√?O;A2
0012-365X;DISCRETE MATHEMATICS;CI√?NCIA DA COMPUTA√?√?O;A2
1574-9541;ECOLOGICAL INFORMATICS (PRINT);CI√?NCIA DA COMPUTA√?√?O;A2
0952-1976;ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE;CI√?NCIA DA COMPUTA√?√?O;A2
1751-7575;ENTERPRISE INFORMATION SYSTEMS (PRINT);CI√?NCIA DA COMPUTA√?√?O;A2
1396-0466;FIRST MONDAY (ONLINE);CI√?NCIA DA COMPUTA√?√?O;A2
1615-3375;FOUNDATIONS OF COMPUTATIONAL MATHEMATICS (PRINT);CI√?NCIA DA COMPUTA√?√?O;A2
0169-2968;FUNDAMENTA INFORMATICAE;CI√?NCIA DA COMPUTA√?√?O;A2
0167-739X;FUTURE GENERATION COMPUTER SYSTEMS;CI√?NCIA DA COMPUTA√?√?O;A2
1524-0703;GRAPHICAL MODELS (PRINT);CI√?NCIA DA COMPUTA√?√?O;A2
0272-1716;IEEE COMPUTER GRAPHICS AND APPLICATIONS;CI√?NCIA DA COMPUTA√?√?O;A2
1545-598X;IEEE GEOSCIENCE AND REMOTE SENSING LETTERS (PRINT);CI√?NCIA DA COMPUTA√?√?O;A2
1932-4553;IEEE JOURNAL OF SELECTED TOPICS IN SIGNAL PROCESSING;CI√?NCIA DA COMPUTA√?√?O;A2
1070-986X;IEEE MULTIMEDIA;CI√?NCIA DA COMPUTA√?√?O;A2
1070-9932;IEEE ROBOTICS & AUTOMATION MAGAZINE;CI√?NCIA DA COMPUTA√?√?O;A2
1540-7993;IEEE SECURITY & PRIVACY;CI√?NCIA DA COMPUTA√?√?O;A2
1530-437X;IEEE SENSORS JOURNAL;CI√?NCIA DA COMPUTA√?√?O;A2
1932-8184;IEEE SYSTEMS JOURNAL;CI√?NCIA DA COMPUTA√?√?O;A2
1549-7747;IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS. II, EXPRESS BRIEFS;CI√?NCIA DA COMPUTA√?√?O;A2
0018-9359;IEEE TRANSACTIONS ON EDUCATION;CI√?NCIA DA COMPUTA√?√?O;A2
0018-9391;IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT;CI√?NCIA DA COMPUTA√?√?O;A2
1556-6013;IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY;CI√?NCIA DA COMPUTA√?√?O;A2
1536-125X;IEEE TRANSACTIONS ON NANOTECHNOLOGY;CI√?NCIA DA COMPUTA√?√?O;A2
0018-9529;IEEE TRANSACTIONS ON RELIABILITY;CI√?NCIA DA COMPUTA√?√?O;A2
1545-5963;IEEE/ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS (PRINT);CI√?NCIA DA COMPUTA√?√?O;A2
0272-4979;IMA JOURNAL OF NUMERICAL ANALYSIS;CI√?NCIA DA COMPUTA√?√?O;A2
0890-5401;INFORMATION AND COMPUTATION (PRINT);CI√?NCIA DA COMPUTA√?√?O;A2
0950-5849;INFORMATION AND SOFTWARE TECHNOLOGY;CI√?NCIA DA COMPUTA√?√?O;A2
1369-118X;INFORMATION, COMMUNICATION & SOCIETY;CI√?NCIA DA COMPUTA√?√?O;A2
0020-0190;INFORMATION PROCESSING LETTERS (PRINT);CI√?NCIA DA COMPUTA√?√?O;A2
0306-4379;INFORMATION SYSTEMS (OXFORD);CI√?NCIA DA COMPUTA√?√?O;A2
1091-9856;INFORMS JOURNAL ON COMPUTING;CI√?NCIA DA COMPUTA√?√?O;A2
1526-5528;INFORMS JOURNAL ON COMPUTING (ONLINE);CI√?NCIA DA COMPUTA√?√?O;A2
0953-5438;INTERACTING WITH COMPUTERS;CI√?NCIA DA COMPUTA√?√?O;A2
